Nome,Cognome,Ruolo,padiglione,reparto,piano reparto,Numero di telefono,Abitazione,data di nascita,tessera_sanitaria
Giuseppe,Patti,Capo reparto,a,CARDIOLOGIA 1,3,393814225350,via Leandro n^45,27/10/1999,gspppttf2710199988
Ilaria,BELLACOSA,Equip,a,CARDIOLOGIA 1,3,393814225350,via Liuba n^89,21/11/1991,lrbllcsf2111199147
Miriam,BORTNIK,Equip,a,CARDIOLOGIA 1,3,393814225350,via Bianca n^80,5/1/1992,mrmbrtnkf51199282
Maria,Enrica,Equip,a,CARDIOLOGIA 1,3,393814225350,via Eugenio n^30,26/5/1982,mrnrcf265198267
Giuseppe,DE,Equip,a,CARDIOLOGIA 1,3,393697609333,via Rosaria n^51,25/12/1987,gsppdf2512198780
Paolo,DEVECCHI,Equip,a,CARDIOLOGIA 1,3,393697609333,via Eolo n^79,4/4/1995,pldvcchf44199530
Anna,DE,Equip,a,CARDIOLOGIA 1,3,393697609333,via Zenaide n^30,8/7/1980,nndf87198033
Giuliano,MARTI,Equip,a,CARDIOLOGIA 1,3,393697609333,via Saul n^20,11/4/1989,glnmrtf114198977
Cristina,PICCININO,Equip,a,CARDIOLOGIA 1,3,393287877155,via Enrica n^78,23/6/1993,crstnpccnnf236199374
Stefano,PORCELLINI,Equip,a,CARDIOLOGIA 1,3,393287877155,via Jonathan n^97,12/6/1992,stfnprcllnf126199212
Marco,BRAMBILLA,Capo reparto,a,FISICA SANITARIA,-1,393287877155,via Thera n^96,8/2/1998,mrcbrmbllf82199870
Barbara,CANNILLO,Equip,a,FISICA SANITARIA,-1,393287877155,via Zeno n^58,16/9/1982,brbrcnnllf169198240
Andrea,D’ALESSIO,Equip,a,FISICA SANITARIA,-1,393287877155,via Fermo n^93,10/11/1980,ndrd’lssf1011198056
Roberta,MATHEOUD,Equip,a,FISICA SANITARIA,-1,393287877155,via Wanda n^46,14/11/1996,rbrtmthdf1411199695
Eleonora,MONES,Equip,a,FISICA SANITARIA,-1,393287877155,via Edwin n^94,10/6/1987,lnrmnsf106198710
Eleonora,NEGRI,Equip,a,FISICA SANITARIA,-1,393287877155,via Ximena n^9,27/11/1998,lnrngrf2711199811
Antonella,OSTAN,Equip,a,FISICA SANITARIA,-1,393287877155,via Edgardo n^29,2/10/1986,ntnllstnf210198638
Federica,PURICELLI,Equip,a,FISICA SANITARIA,-1,393287877155,via Norma n^21,19/5/1986,fdrcprcllf195198640
Chiara,SECCO,Equip,a,FISICA SANITARIA,-1,393697609333,via Anselmo n^10,23/12/1989,chrsccf2312198994
Gian,AVANZI,Capo reparto,a,MEDICINA E CHIRURGIA D'ACCETTAZIONE E D'URGENZA (DEA),0,393697609333,via Teodoro n^38,23/3/1982,gnvnzf233198287
Giuseppe,BARBERA,Equip,a,MEDICINA E CHIRURGIA D'ACCETTAZIONE E D'URGENZA (DEA),0,393697609333,via Nausicaa n^52,22/7/1984,gsppbrbrf227198441
Filippo,BATTAGLIA,Equip,a,MEDICINA E CHIRURGIA D'ACCETTAZIONE E D'URGENZA (DEA),0,393697609333,via Febo n^71,14/5/1992,flppbttglf14519923
Marcello,BIGLIOCCA,Equip,a,MEDICINA E CHIRURGIA D'ACCETTAZIONE E D'URGENZA (DEA),0,393697609333,via Nella n^78,29/9/1980,mrcllbglccf299198052
Matteo,BRUSTIA,Equip,a,MEDICINA E CHIRURGIA D'ACCETTAZIONE E D'URGENZA (DEA),0,393697609333,via Vesta n^56,18/5/1990,mttbrstf185199063
Francesco,CARUGNO,Equip,a,MEDICINA E CHIRURGIA D'ACCETTAZIONE E D'URGENZA (DEA),0,393697609333,via Tommaso n^15,15/8/1995,frncsccrgnf158199559
Luigi,Mario,Equip,a,MEDICINA E CHIRURGIA D'ACCETTAZIONE E D'URGENZA (DEA),0,393697609333,via Vincenza n^58,6/4/1997,lgmrf64199795
Francesca,CORLIANO,Equip,a,MEDICINA E CHIRURGIA D'ACCETTAZIONE E D'URGENZA (DEA),0,393802347776,via Serafina n^16,3/8/2000,frncsccrlnf3820005
Paola,FANCHINI,Equip,a,MEDICINA E CHIRURGIA D'ACCETTAZIONE E D'URGENZA (DEA),0,393802347776,via Mildred n^54,24/2/1981,plfnchnf242198135
Lisa,FRANZOSI,Equip,a,MEDICINA E CHIRURGIA D'ACCETTAZIONE E D'URGENZA (DEA),0,393802347776,via Adamo n^44,14/10/1985,lsfrnzsf1410198570
Francesca,GUIDETTI,Equip,a,MEDICINA E CHIRURGIA D'ACCETTAZIONE E D'URGENZA (DEA),0,393802347776,via Ford n^44,20/5/1991,frncscgdttf205199185
Annamaria,LIMONCINI,Equip,a,MEDICINA E CHIRURGIA D'ACCETTAZIONE E D'URGENZA (DEA),0,393802347776,via Morgan n^59,30/10/1989,nnmrlmncnf3010198927
Alessandro,MARINOSCI,Equip,a,MEDICINA E CHIRURGIA D'ACCETTAZIONE E D'URGENZA (DEA),0,393802347776,via Sibilla n^95,16/10/1993,lssndrmrnscf1610199393
Anna,MARTONE,Equip,a,MEDICINA E CHIRURGIA D'ACCETTAZIONE E D'URGENZA (DEA),0,393802347776,via Dolcina n^92,18/12/1995,nnmrtnf1812199547
Paola,MARTINO,Equip,a,MEDICINA E CHIRURGIA D'ACCETTAZIONE E D'URGENZA (DEA),0,393802347776,via Odilia n^63,20/5/1986,plmrtnf205198632
Mirta,MENEGATTI,Equip,a,MEDICINA E CHIRURGIA D'ACCETTAZIONE E D'URGENZA (DEA),0,393802347776,via Elvira n^70,5/9/1981,mrtmngttf59198119
Rossella,MOLINARI,Equip,a,MEDICINA E CHIRURGIA D'ACCETTAZIONE E D'URGENZA (DEA),0,393802347776,via Carina n^0,16/11/1988,rssllmlnrf1611198836
Alessandra,ROSINA,Equip,a,MEDICINA E CHIRURGIA D'ACCETTAZIONE E D'URGENZA (DEA),0,393802347776,via Aspasia n^22,14/7/1996,lssndrrsnf147199637
Luca,ROSSI,Equip,a,MEDICINA E CHIRURGIA D'ACCETTAZIONE E D'URGENZA (DEA),0,393802347776,via Gigliola n^85,19/11/1996,lcrssf1911199640
Sergio,STURIALE,Equip,a,MEDICINA E CHIRURGIA D'ACCETTAZIONE E D'URGENZA (DEA),0,393802347776,via Davide n^66,5/12/1985,srgstrlf512198565
Isabella,ZANOTTI,Equip,a,MEDICINA E CHIRURGIA D'ACCETTAZIONE E D'URGENZA (DEA),0,393802347776,via Primo n^21,29/6/1984,sbllznttf296198469
Mario,PIRISI,Capo reparto,a,MEDICINA INTERNA 1,2,393802347776,via Livio n^6,25/1/1983,mrprsf251198350
Fabio,BRUSTIA,Equip,a,MEDICINA INTERNA 1,2,393802347776,via Dino n^23,22/11/2000,fbbrstf2211200075
Elisa,CERIANI,Equip,a,MEDICINA INTERNA 1,2,393802347776,via Pia n^13,11/5/1989,lscrnf1151989100
Stefano,FANGAZIO,Equip,a,MEDICINA INTERNA 1,2,393802347776,via Enzo n^51,4/6/1986,stfnfngzf46198658
Gian,Paolo,Equip,a,MEDICINA INTERNA 1,2,393802347776,via Momo n^99,5/10/1995,gnplf51019950
Roberta,PEDRAZZOLI,Equip,a,MEDICINA INTERNA 1,2,393802347776,via Glen n^20,15/11/1992,rbrtpdrzzlf1511199279
Rachele,RAPETTI,Equip,a,MEDICINA INTERNA 1,2,393802347776,via Edda n^49,27/1/1991,rchlrpttf271199198
Cristina,RIGAMONTI,Equip,a,MEDICINA INTERNA 1,2,393802347776,via Gemma n^12,27/7/1993,crstnrgmntf27719939
Sola,DANIELE,Equip,a,MEDICINA INTERNA 1,2,393802347776,via Caio n^71,19/12/1986,sldnlf1912198684
Mauro,CAMPANINI,Capo reparto,a,MEDICINA INTERNA 2,4,393802347776,via Silvestro n^49,13/8/1998,mrcmpnnf138199845
Flavio,BOBBIO,Equip,a,MEDICINA INTERNA 2,4,393802347776,via Flora n^22,6/9/1997,flvbbbf69199776
Piermario,GNEMMI,Equip,a,MEDICINA INTERNA 2,4,393802347776,via Rhys n^76,5/10/2000,prmrgnmmf510200010
Renata,PARACCHINI,Equip,a,MEDICINA INTERNA 2,4,393802347776,via Vedia n^90,8/9/1995,rntprcchnf89199541
Sergio,PITTAU,Equip,a,MEDICINA INTERNA 2,4,393802347776,via Vladimiro n^57,3/2/1989,srgpttf32198983
Roberta,RE,Equip,a,MEDICINA INTERNA 2,4,393802347776,via Rosa n^63,21/1/1990,rbrtrf211199081
Antonello,ROSSI,Equip,a,MEDICINA INTERNA 2,4,393802347776,via Vida n^23,1/9/1989,ntnllrssf19198927
Tiziana,SCULLINO,Equip,a,MEDICINA INTERNA 2,4,393802347776,via Vittore n^32,12/2/1998,tznscllnf122199836
Giuseppe,ZACCALA,Equip,a,MEDICINA INTERNA 2,4,393802347776,via Eletta n^69,4/8/1986,gsppzcclf48198612
Roberto,CANTELLO,Capo reparto,a,NEUROLOGIA,3,393802347776,via Cristina n^72,27/6/1995,rbrtcntllf276199599
Laura,BOLAMPERTI,Equip,a,NEUROLOGIA,3,393802347776,via Lamberto n^76,28/7/1991,lrblmprtf287199172
Cristoforo,COMI,Equip,a,NEUROLOGIA,3,393802347776,via Sonia n^18,19/7/1996,crstfrcmf197199623
Lorenzo,COPPO,Equip,a,NEUROLOGIA,3,393802347776,via Edera n^85,23/7/1985,lrnzcppf237198579
Letizia,MAZZINI,Equip,a,NEUROLOGIA,3,393802347776,via Leonardo n^47,10/7/2000,ltzmzznf10720006
Daniela,MITTINO,Equip,a,NEUROLOGIA,3,393802347776,via Gilberto n^90,24/12/1991,dnlmttnf2412199112
Paola,NALDI,Equip,a,NEUROLOGIA,3,393802347776,via Pasquale n^81,7/1/1997,plnldf71199774
Paolo,PRANDI,Equip,a,NEUROLOGIA,3,393802347776,via Iolanda n^70,12/5/1988,plprndf125198835
Gionata,STRIGARO,Equip,a,NEUROLOGIA,3,393802347776,via Sennen n^69,15/11/1993,gntstrgrf151119932
Roberto,TARLETTI,Equip,a,NEUROLOGIA,3,393802347776,via Ornella n^1,28/1/1980,rbrttrlttf281198058
Claudia,VARRASI,Equip,a,NEUROLOGIA,3,393802347776,via Fabiana n^27,18/9/1982,cldvrrsf189198210
Domizia,VECCHIO,Equip,a,NEUROLOGIA,3,393802347776,via Davide n^86,20/6/1985,dmzvcchf206198596
Stefano,CILLA',Capo reparto,a,OFTAMOLOGIA,-1,393802347776,via Alina n^10,8/12/1984,stfncll'f812198434
Micol,Ester,Equip,a,OFTAMOLOGIA,-1,393802347776,via Aurea n^100,4/12/1980,mclstrf412198059
Daniele,BATTISTELLO,Equip,a,OFTAMOLOGIA,-1,393802347776,via Cirillo n^76,19/5/1990,dnlbttstllf195199018
Antonella,CLEMENTE,Equip,a,OFTAMOLOGIA,-1,393802347776,via Verbena n^78,22/9/1989,ntnllclmntf229198994
Massimo,COFFANO,Equip,a,OFTAMOLOGIA,-1,393802347776,via Kim n^35,14/5/1999,mssmcffnf145199989
Annita,FIORENTINO,Equip,a,OFTAMOLOGIA,-1,393802347776,via Doriana n^11,10/9/1984,nntfrntnf109198425
Andrea,MURACA,Equip,a,OFTAMOLOGIA,-1,393697609333,via Teodoro n^95,15/8/1992,ndrmrcf158199252
Raffaella,TORCHIO,Equip,a,OFTAMOLOGIA,-1,393887370106,via Shaula n^30,25/3/1980,rfflltrchf253198053
Stela,VUJOSEVIC,Equip,a,OFTAMOLOGIA,-1,393887370106,via Moreno n^51,30/2/1995,stlvjsvcf30219955
Lidia,ROSSI,Capo reparto,a,TERAPIA INTENSIVA CARDIOLOGICA UNITÀ CORONARICA,0,393887370106,via Sadir n^70,12/1/1994,ldrssf121199427
Fabiola,SANNA,Equip,a,TERAPIA INTENSIVA CARDIOLOGICA UNITÀ CORONARICA,0,393887370106,via Luce n^72,10/7/1999,fblsnnf107199975
Gabriele,Dell'Era,Capo reparto,a,UNITÀ DI ELETTROFISIOLOGIA,-1,393887370106,via Linnea n^17,1/10/1986,gbrldll'rf110198683
Francesco,CORTE,Capo reparto,b,ANESTESIA E RIANIMAZIONE 1,0,393887370106,via Wilson n^50,28/9/1985,frncsccrtf289198562
Cleto,ANTONINI,Equip,b,ANESTESIA E RIANIMAZIONE 1,0,393887370106,via Emilia n^10,4/6/1987,cltntnnf46198748
Valentina,BERGAMASCHI,Equip,b,ANESTESIA E RIANIMAZIONE 1,0,393887370106,via Amedeo n^39,28/3/1987,vlntnbrgmschf283198758
Paola,BERNI,Equip,b,ANESTESIA E RIANIMAZIONE 1,0,393887370106,via Miranda n^92,24/6/1990,plbrnf246199028
Enrico,BELLOTTI,Equip,b,ANESTESIA E RIANIMAZIONE 1,0,393887370106,via Viridiana n^51,6/11/1997,nrcbllttf61119970
Barbara,BUCCI,Equip,b,ANESTESIA E RIANIMAZIONE 1,0,393887370106,via Eugenio n^86,26/5/2000,brbrbccf265200030
Pierluigi,CALDARA,Equip,b,ANESTESIA E RIANIMAZIONE 1,0,393887370106,via Aldwin n^20,14/10/1986,prlgcldrf1410198628
Gianmaria,CAMMAROTA,Equip,b,ANESTESIA E RIANIMAZIONE 1,0,393887370106,via Adriele n^9,7/6/1980,gnmrcmmrtf76198098
Laura,CANCELLIERE,Equip,b,ANESTESIA E RIANIMAZIONE 1,0,393887370106,via Laura n^18,17/12/1996,lrcncllrf1712199693
Manuela,CANDRIELLA,Equip,b,ANESTESIA E RIANIMAZIONE 1,0,393887370106,via Mirko n^27,19/4/2000,mnlcndrllf194200027
Paola,CASAROTTI,Equip,b,ANESTESIA E RIANIMAZIONE 1,0,393887370106,via Fara n^11,23/4/1993,plcsrttf23419937
Valeria,CASTOLDI,Equip,b,ANESTESIA E RIANIMAZIONE 1,0,393887370106,via Mintha n^19,14/1/1991,vlrcstldf14119914
Gian,Paolo,Equip,b,ANESTESIA E RIANIMAZIONE 1,0,393887370106,via Alida n^58,5/4/1993,gnplf54199316
Carlo,CEFFA,Equip,b,ANESTESIA E RIANIMAZIONE 1,0,393887370106,via Tancredi n^84,8/12/1986,crlcfff812198685
